# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0008571428571428571,0.04142857142857143,0.02,10.0,0.692186,0.10808456,0.22441632,-0.3392567730642182,0.06599999964237213,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.08142857142857143,10.0,0.63440484,0.15596008,0.1578545,-0.32992278902154043,0.05900000035762787,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.14285714285714285,10.0,0.58311754,0.17682332,0.13879484,-0.3237884424130776,0.052000001072883606,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.20428571428571426,10.0,0.53687567,0.14532244,0.09251201,-0.35282605656328964,0.04699999839067459,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.26571428571428574,10.0,0.46506608,0.08595288,0.09838402,-0.32212917426048276,0.028999999165534973,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.3271428571428572,10.0,0.3350392,0.12935096,0.07139075,-0.228977661083488,0.05000000074505806,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.38857142857142857,10.0,0.25286293,0.11984593,0.089705765,-0.15823295492184397,0.019999999552965164,f-D* trade-off
0.0008571428571428571,0.04142857142857143,0.45,10.0,0.26154017,0.0809226,0.16283482,-0.009858490031880494,0.006000000052154064,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.02,10.0,0.6929105,0.16589397,0.23466158,-0.32388981700610914,0.0860000029206276,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.08142857142857143,10.0,0.6546242,0.14090836,0.1824696,-0.33549146156520865,0.05400000140070915,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.14285714285714285,10.0,0.560832,0.21992433,0.11226541,-0.32739849106413293,0.04699999839067459,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.20428571428571426,10.0,0.51021147,0.17725784,0.11778152,-0.32787138454295167,0.05400000140070915,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.26571428571428574,10.0,0.42199504,0.12812209,0.09558123,-0.3498568288217463,0.02800000086426735,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.3271428571428572,10.0,0.29501057,0.09393579,0.09935039,-0.21479629754899476,0.03700000047683716,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.38857142857142857,10.0,0.253228,0.11938715,0.09347868,-0.06563022817016366,0.027000000700354576,f-D* trade-off
0.0008571428571428571,0.05714285714285715,0.45,10.0,0.22205234,-0.0035721064,0.16087478,0.03702958339015307,0.00800000037997961,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.02,10.0,0.69007754,0.14808857,0.22717792,-0.32958686293117184,0.09700000286102295,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.08142857142857143,10.0,0.6417462,0.18604946,0.16119188,-0.3414918355013961,0.05400000140070915,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.14285714285714285,10.0,0.5452428,0.17274606,0.12573528,-0.3298169234211287,0.04399999976158142,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.20428571428571426,10.0,0.4947366,0.15792269,0.08599198,-0.3345213087397159,0.05299999937415123,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.26571428571428574,10.0,0.44327796,0.16981888,0.11004567,-0.3258590829715572,0.03400000184774399,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.3271428571428572,10.0,0.2817524,0.082338035,0.09473318,-0.2613191459618568,0.03799999877810478,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.38857142857142857,10.0,0.23782188,0.08355075,0.096812785,-0.10976436597915477,0.024000000208616257,f-D* trade-off
0.0008571428571428571,0.07285714285714286,0.45,10.0,0.2498163,0.0019600987,0.16870409,0.019016922384520865,0.007000000216066837,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.02,10.0,0.68629813,0.15289718,0.22738433,-0.35026380216810393,0.07699999958276749,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.08142857142857143,10.0,0.63552916,0.22526103,0.16635948,-0.3425903621389626,0.052000001072883606,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.14285714285714285,10.0,0.5558884,0.1641218,0.085757494,-0.342919123961818,0.050999999046325684,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.20428571428571426,10.0,0.49398685,0.19217163,0.100103796,-0.35920536668736275,0.04399999976158142,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.26571428571428574,10.0,0.40090823,0.09214842,0.08131343,-0.3063239115647171,0.032999999821186066,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.3271428571428572,10.0,0.32234752,0.09383005,0.071364045,-0.2632769539920967,0.03999999910593033,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.38857142857142857,10.0,0.23659718,0.06805283,0.08143443,-0.024953646917460114,0.01899999938905239,f-D* trade-off
0.0008571428571428571,0.08857142857142856,0.45,10.0,0.25549668,0.01731664,0.19003499,0.026295479368616242,0.00800000037997961,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.02,10.0,0.6988137,0.16469342,0.24990451,-0.3705777671677628,0.07100000232458115,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.08142857142857143,10.0,0.6325112,0.27731764,0.16565716,-0.3215966781720899,0.06599999964237213,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.14285714285714285,10.0,0.5721222,0.1911236,0.14464748,-0.3237285764080921,0.041999999433755875,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.20428571428571426,10.0,0.51271117,0.12598526,0.08906895,-0.33086258335663926,0.04800000041723251,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.26571428571428574,10.0,0.43317527,0.1425206,0.09040433,-0.25811998164822647,0.03700000047683716,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.3271428571428572,10.0,0.299093,0.09070808,0.08187044,-0.2561236480675913,0.02800000086426735,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.38857142857142857,10.0,0.24665463,0.055528343,0.086327255,-0.029892453095746927,0.01899999938905239,f-D* trade-off
0.0008571428571428571,0.10428571428571429,0.45,10.0,0.24475431,0.0133141875,0.18393773,0.052678030891866366,0.00800000037997961,f-D* trade-off
0.0008571428571428571,0.12,0.02,10.0,0.68109894,0.073357105,0.17315245,-0.37407673083715615,0.07599999755620956,f-D* trade-off
0.0008571428571428571,0.12,0.08142857142857143,10.0,0.64550054,0.09651631,0.19462818,-0.32055061801342105,0.0560000017285347,f-D* trade-off
0.0008571428571428571,0.12,0.14285714285714285,10.0,0.57632387,0.19806695,0.1233449,-0.3559862954154068,0.061000000685453415,f-D* trade-off
