# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0006,0.10428571428571429,0.3271428571428572,10.0,0.40788537,-0.002891779,0.17266989,-0.108829179228943,0.03400000184774399,f-D* trade-off
0.0006,0.10428571428571429,0.38857142857142857,10.0,0.28362226,0.009103358,0.1729067,0.00464746881647732,0.02199999988079071,f-D* trade-off
0.0006,0.10428571428571429,0.45,10.0,0.20861387,0.029929042,0.10905725,0.0069321899368865215,0.02199999988079071,f-D* trade-off
0.0006,0.12,0.02,10.0,0.812124,0.0033747554,0.5972655,-0.347861402576981,0.26600000262260437,f-D* trade-off
0.0006,0.12,0.08142857142857143,10.0,0.75640744,-0.013746023,0.45619023,-0.30659169568102274,0.11599999666213989,f-D* trade-off
0.0006,0.12,0.14285714285714285,10.0,0.6727424,-0.010274649,0.42441475,-0.08898858949370174,0.06800000369548798,f-D* trade-off
0.0006,0.12,0.20428571428571426,10.0,0.61371124,-0.02573812,0.3281151,-0.1310487824320561,0.05000000074505806,f-D* trade-off
0.0006,0.12,0.26571428571428574,10.0,0.5064386,-0.007263422,0.24111545,-0.09734340971730443,0.050999999046325684,f-D* trade-off
0.0006,0.12,0.3271428571428572,10.0,0.39140075,0.007541001,0.1930384,-0.09374241542683803,0.026000000536441803,f-D* trade-off
0.0006,0.12,0.38857142857142857,10.0,0.28612554,0.014398515,0.16126424,-0.06343464003333116,0.02800000086426735,f-D* trade-off
0.0006,0.12,0.45,10.0,0.18940383,0.0104881525,0.110590816,0.07936559690395575,0.02199999988079071,f-D* trade-off
0.0008571428571428571,0.01,0.02,10.0,0.72999126,-0.023281217,0.44143885,-0.24499864033047059,0.09300000220537186,f-D* trade-off
0.0008571428571428571,0.01,0.08142857142857143,10.0,0.7246529,-0.020233154,0.43576723,-0.20708814194056888,0.07100000232458115,f-D* trade-off
0.0008571428571428571,0.01,0.14285714285714285,10.0,0.6714208,-0.021716356,0.41108,-0.09076859922821291,0.029999999329447746,f-D* trade-off
0.0008571428571428571,0.01,0.20428571428571426,10.0,0.6543647,0.005083263,0.36647594,-0.22189225588062184,0.027000000700354576,f-D* trade-off
0.0008571428571428571,0.01,0.26571428571428574,10.0,0.61828035,0.013312697,0.31647158,-0.29925616749475104,0.020999999716877937,f-D* trade-off
0.0008571428571428571,0.01,0.3271428571428572,10.0,0.61100245,0.022954226,0.4153757,-0.16616990281885544,0.004000000189989805,f-D* trade-off
0.0008571428571428571,0.01,0.38857142857142857,10.0,0.52150214,0.05999005,0.30824953,-0.032738631511469274,0.013000000268220901,f-D* trade-off
0.0008571428571428571,0.01,0.45,10.0,0.45663822,0.038601875,0.29826528,0.049638323909767135,0.008999999612569809,f-D* trade-off
