D_true,Dstar_true,f_true,snr,npe_post_sd,crlb_sd_analytic,crlb_sd_analytic_recomputed,crlb_sd_sampled,crlb_sd_rician,ratio_analytic,ratio_sampled,ratio_rician,rail_rate_dstar,diverged_rate
1.6285714285714283,25.71428571428572,0.02,10.0,35.250214,576.0290642695946,576.0290642695946,203.86364184217132,581.6127445549939,0.06119519970358471,0.17291074407122714,0.06060770560825794,0.1135,0.0
1.8857142857142857,25.71428571428572,0.02,10.0,37.34,599.7512997038029,599.7512997038029,196.91114277127417,606.6196708163515,0.062259140031924676,0.189628679588605,0.061554218889325045,0.054,0.0
2.142857142857143,25.71428571428572,0.02,10.0,36.538815,625.1218564586416,625.1218564586416,195.47322055483406,638.9316539906373,0.05845070711760526,0.186924914299195,0.05718736076352766,0.0605,0.0
2.4,25.71428571428572,0.02,10.0,35.34807,652.2910571804134,652.2910571804134,198.70670197464509,675.4509682676022,0.05419063752015838,0.177890678314969,0.05233254767649648,0.0625,0.0
0.6,25.71428571428572,0.08142857142857143,10.0,35.009182,121.53345707862907,121.53345707862907,216.91668675408076,121.9806054067049,0.28806209267681987,0.16139460049788626,0.28700613415774745,0.1895,0.0
0.8571428571428571,25.71428571428572,0.08142857142857143,10.0,33.693775,126.07924005890072,126.07924005890072,214.09050233063743,126.48735824702403,0.26724284792057085,0.15738098903595432,0.2663805732601166,0.1555,0.0
1.1142857142857143,25.71428571428572,0.08142857142857143,10.0,34.009766,130.8997951668201,130.8997951668201,214.6232069411909,132.45968136665792,0.25981527000601945,0.15846266806235473,0.25675560781290513,0.1385,0.0
1.3714285714285714,25.71428571428572,0.08142857142857143,10.0,34.22613,136.0230968603763,136.0230968603763,212.63827089895454,136.2756585378404,0.2516199985826017,0.16095940704984482,0.2511536569863373,0.0895,0.0
1.6285714285714283,25.71428571428572,0.08142857142857143,10.0,33.587708,141.48082280305846,141.48082280305846,206.36461526517326,143.4050147846599,0.23740113221058515,0.16275904644234018,0.2342157144953127,0.0495,0.0
1.8857142857142857,25.71428571428572,0.08142857142857143,10.0,35.910122,147.30733676935498,147.30733676935498,205.82506213515828,149.34736079544157,0.24377687293301983,0.17446914203489491,0.24044698084210178,0.038,0.0
2.142857142857143,25.71428571428572,0.08142857142857143,10.0,37.370617,153.5387015863331,153.5387015863331,202.3913602792351,158.8071909291701,0.2433954210028845,0.18464531760862,0.2353206852998725,0.0445,0.0
2.4,25.71428571428572,0.08142857142857143,10.0,35.955948,160.21183860571554,160.21183860571554,206.11316000180878,166.87836306665682,0.22442753412539537,0.17444760926320504,0.21546201280532687,0.061,0.0
0.6,25.71428571428572,0.14285714285714285,10.0,35.7593,69.2740705348186,69.2740705348186,214.61022968411112,69.75272194094546,0.516200361200952,0.1666243964821006,0.5126581301052996,0.0705,0.0
0.8571428571428571,25.71428571428572,0.14285714285714285,10.0,35.67906,71.86516683357341,71.86516683357341,219.556779647061,72.11099190802686,0.49647226134289263,0.162504934064684,0.49477977012861574,0.081,0.0
1.1142857142857143,25.71428571428572,0.14285714285714285,10.0,34.17864,74.61288324508756,74.61288324508756,216.3133891290311,75.39974222445358,0.4580795831998925,0.15800519855760023,0.45329916245940716,0.0585,0.0
1.3714285714285714,25.71428571428572,0.14285714285714285,10.0,34.15884,77.53316521041441,77.53316521041441,210.7797839806404,78.33617559237537,0.4405706910938169,0.16205937474125795,0.43605447600284375,0.0485,0.0
1.6285714285714283,25.71428571428572,0.14285714285714285,10.0,35.625546,80.64406899774328,80.64406899774328,209.35876591948312,81.3816190468832,0.44176274764491263,0.17016505539443788,0.4377591207601369,0.034,0.0
1.8857142857142857,25.71428571428572,0.14285714285714285,10.0,36.251728,83.96518195853238,83.96518195853238,207.91002915869464,85.46417663689438,0.43174715057206514,0.17436257474779918,0.4241745422063815,0.039,0.0
2.142857142857143,25.71428571428572,0.14285714285714285,10.0,37.64713,87.51705990420979,87.51705990420979,207.46606753011682,90.12491062635918,0.430169033329546,0.18146162622249035,0.4177216902447523,0.047,0.0
2.4,25.71428571428572,0.14285714285714285,10.0,35.993843,91.32074800525781,91.32074800525781,203.95459329038738,95.27157549385137,0.39414748416801104,0.1764796880487635,0.3778025377813025,0.049,0.0
0.6,25.71428571428572,0.20428571428571426,10.0,34.37766,48.44340596840461,48.44340596840461,217.2046101884823,48.53690432773667,0.7096457847413882,0.15827315990285984,0.7082787927279224,0.0425,0.0
0.8571428571428571,25.71428571428572,0.20428571428571426,10.0,34.311096,50.25536142207936,50.25536142207936,217.64902409878647,50.485113343359565,0.6827350400136989,0.1576441527457844,0.6796279878910686,0.0525,0.0
1.1142857142857143,25.71428571428572,0.20428571428571426,10.0,34.669994,52.176841430131134,52.176841430131134,215.33437926088615,52.639878494866494,0.6644709300901986,0.16100538204350512,0.6586260263382079,0.046,0.0
1.3714285714285714,25.71428571428572,0.20428571428571426,10.0,33.743916,54.2189966506395,54.2189966506395,209.05222890360523,54.76353139293322,0.622363334668299,0.16141380638213357,0.6161749460217311,0.0335,0.0
1.6285714285714283,25.71428571428572,0.20428571428571426,10.0,35.029068,56.39445384457576,56.39445384457576,212.8139916741457,57.177883260861535,0.6211438466928836,0.16459945948307497,0.6126331721688187,0.0415,0.0
1.8857142857142857,25.71428571428572,0.20428571428571426,10.0,36.858658,58.716910460512196,58.716910460512196,206.45333162234047,59.949363459324175,0.62773496677251,0.17853263839512434,0.6148298476097868,0.0395,0.0
2.142857142857143,25.71428571428572,0.20428571428571426,10.0,36.760918,61.20074119175513,61.20074119175513,205.30698430401387,62.92931925210206,0.6006613146790875,0.17905342151227197,0.5841620160029309,0.0405,0.0
2.4,25.71428571428572,0.20428571428571426,10.0,37.04004,63.86066294073979,63.86066294073979,201.28824299378337,67.27599841660913,0.5800133815847123,0.18401492034059808,0.5505684177383466,0.04,0.0
0.6,25.71428571428572,0.26571428571428574,10.0,34.49774,37.24412394345089,37.24412394345089,213.15858940327354,37.238796399621805,0.9262599853764296,0.161840721955304,0.9263924545195654,0.035,0.0
0.8571428571428571,25.71428571428572,0.26571428571428574,10.0,36.516914,38.63718646966312,38.63718646966312,209.88073786586284,38.76602328117193,0.9451235378214684,0.17398887754691605,0.9419824606496512,0.039,0.0
1.1142857142857143,25.71428571428572,0.26571428571428574,10.0,31.24606,40.114453357573936,40.114453357573936,211.5573994359237,40.50417054981245,0.7789227274070556,0.147695424897978,0.7714282153136125,0.0385,0.0
1.3714285714285714,25.71428571428572,0.26571428571428574,10.0,36.330803,41.68449742495404,41.68449742495404,204.50757141787022,42.452682433896065,0.8715662935096674,0.17765016105817075,0.8557952269935224,0.0315,0.0
1.6285714285714283,25.71428571428572,0.26571428571428574,10.0,34.91671,43.35702634287274,43.35702634287274,206.07014425750046,44.38137755184458,0.8053299048642467,0.16944089657339637,0.7867423664173487,0.0375,0.0
1.8857142857142857,25.71428571428572,0.26571428571428574,10.0,37.961433,45.14257094544752,45.14257094544752,208.0940431946192,46.33978629425231,0.8409231600149442,0.1824244097390943,0.8191974118945924,0.044,0.0
2.142857142857143,25.71428571428572,0.26571428571428574,10.0,37.884064,47.052182744198824,47.052182744198824,206.75202704555494,49.49312014918503,0.8051499741608468,0.18323430508206226,0.7654410125247239,0.041,0.0
