snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
10.1370,24.8305,0.42477,8.35329,10.20937,0
19.8497,48.6215,2.61482,10.05492,12.38854,0
27.8359,68.1839,0.43527,19.75778,24.95302,0
24.6440,60.3652,12.08358,19.06580,21.13016,0
27.6135,67.6390,0.02000,21.13425,26.67240,0
34.9736,85.6674,0.59545,22.63429,26.28721,0
16.4345,40.2561,0.86069,8.96365,11.11774,0
30.6527,75.0834,1.07989,26.77585,33.46812,0
25.0482,61.3553,0.13823,14.47975,18.35548,0
12.5580,30.7606,0.01287,11.10638,11.69593,0
17.3401,42.4745,5.05441,16.50520,19.73535,0
23.0746,56.5210,1.86638,12.56890,16.04954,0
26.1781,64.1229,0.02033,16.31481,18.33523,0
26.7754,65.5860,1.22311,13.60864,17.06787,0
14.4928,35.4999,0.19102,5.06878,6.29797,0
33.2516,81.4495,5.98616,18.35651,23.13783,0
40.3903,98.9357,1.25450,20.57215,23.47883,0
26.5665,65.0743,0.81994,20.55552,24.49429,0
26.0962,63.9224,0.38349,16.97021,20.99421,0
28.6218,70.1089,16.25713,23.03133,27.27573,0
26.3716,64.5971,0.39307,11.67992,14.50089,0
24.2323,59.3568,0.01348,10.53666,11.73453,0
24.6444,60.3662,22.58979,7.56550,9.10525,0
25.2076,61.7458,1.58663,17.81854,21.05981,0
14.6007,35.7644,0.09387,11.94953,12.15265,0
28.3623,69.4732,2.42571,12.35086,12.22522,0
36.7905,90.1179,0.37711,22.49889,26.68168,0
38.1796,93.5207,61.78194,30.19071,33.66953,0
24.7839,60.7079,0.09313,15.34802,18.82931,0
26.1782,64.1232,0.11969,19.20678,23.22799,0
22.9867,56.3056,2.21918,14.27959,16.44912,0
26.6065,65.1724,0.38312,14.30481,16.74583,0
24.3580,59.6647,0.36302,6.40434,8.00431,0
31.9691,78.3079,0.28543,19.99667,24.41953,0
26.8792,65.8402,0.05983,13.61198,15.12905,0
19.9764,48.9320,0.15128,16.71455,18.37055,0
41.6969,102.1362,0.41414,31.92525,33.42090,0
29.1746,71.4629,2.20161,17.50275,21.61410,0
20.0489,49.1095,0.00373,12.69355,13.26160,0
38.0088,93.1023,13.99176,25.89623,30.93253,0
26.0622,63.8391,2.32007,13.26187,15.47981,0
21.3360,52.2624,0.40530,14.40244,18.42740,0
23.3815,57.2729,4.01693,15.84561,20.09102,0
23.6056,57.8217,0.00205,15.30963,18.05061,0
30.3753,74.4040,2.42884,17.66990,18.57986,0
40.1698,98.3954,0.50633,18.96231,22.86448,0
9.4331,23.1064,0.05724,1.90946,2.96249,0
25.6833,62.9110,0.05442,20.20673,25.81886,0
40.5991,99.4470,1.91067,16.70408,19.72932,0
12.7738,31.2892,0.04201,10.06883,11.56293,0
22.6219,55.4121,1.14906,14.21720,16.53879,0
30.3467,74.3339,2.33736,19.25970,22.70627,0
35.4962,86.9476,0.40230,25.75990,27.62968,0
29.8439,73.1023,6.13753,21.52652,26.79190,0
26.2536,64.3078,12.51873,21.06325,26.64480,0
16.6401,40.7598,0.14364,6.88611,7.97319,0
26.0324,63.7660,0.36732,16.63908,19.63199,0
14.1318,34.6157,0.18565,8.22656,9.95115,0
35.0129,85.7638,5.85772,21.08287,24.57533,0
30.2955,74.2086,0.37833,18.27515,20.95068,0
45.4478,111.3238,0.54167,33.60511,37.56001,0
27.1631,66.5358,2.86665,19.05386,22.33336,0
26.1746,64.1143,5.64764,22.83714,28.79235,0
37.5300,91.9294,1.05886,26.84670,32.93265,0
45.2013,110.7202,0.77245,26.35122,31.65538,0
13.1903,32.3096,0.06150,9.42857,11.64816,0
32.0691,78.5528,9.14302,25.07500,29.64432,0
9.8123,24.0351,0.05157,7.72670,8.45033,0
40.2559,98.6063,0.37670,26.57574,33.68815,0
28.6917,70.2800,0.05923,14.63516,16.50828,0
24.5750,60.1961,2.81953,20.24500,23.63562,0
40.9624,100.3370,0.17445,23.38180,28.02926,0
50.2863,123.1757,0.82841,17.23226,19.96032,0
