nlls_dstar,npe_dstar,nlls_railed
0.003000,0.035300,1
0.003000,0.053878,1
0.003000,0.035017,1
0.003000,0.036206,1
0.020301,0.027695,0
0.003000,0.048238,1
0.003000,0.028376,1
0.003000,0.036223,1
0.003000,0.028953,1
0.150000,0.065331,1
0.150000,0.042448,1
0.119026,0.039292,0
0.138443,0.033634,0
0.150000,0.040138,1
0.003000,0.037003,1
0.150000,0.020410,1
0.003000,0.043483,1
0.003000,0.053336,1
0.003000,0.033877,1
0.150000,0.032292,1
0.003000,0.066428,1
0.003000,0.073240,1
0.003000,0.037400,1
0.003000,0.045049,1
0.003000,0.064503,1
0.003000,0.058783,1
0.003000,0.063949,1
0.003000,0.051099,1
0.003000,0.067095,1
0.003000,0.044238,1
0.003000,0.062876,1
0.003000,0.049828,1
0.003000,0.043361,1
0.003000,0.050308,1
0.003000,0.057583,1
0.003000,0.050139,1
0.093401,0.021992,0
0.003000,0.047229,1
0.003000,0.036913,1
0.003000,0.037744,1
0.150000,0.019404,1
0.150000,0.063218,1
0.142908,0.036459,0
0.003000,0.052741,1
0.003000,0.058363,1
0.003000,0.040388,1
0.003000,0.050190,1
0.003000,0.067902,1
0.003000,0.053314,1
0.003000,0.046930,1
0.150000,0.040372,1
0.003000,0.047471,1
0.003000,0.042707,1
0.003000,0.055860,1
0.003000,0.044338,1
0.003000,0.055024,1
0.003000,0.039787,1
0.003000,0.061589,1
0.003000,0.061805,1
0.003000,0.055432,1
0.003000,0.046927,1
0.003000,0.053892,1
0.003000,0.053695,1
0.025686,0.033002,0
0.150000,0.034889,1
0.003000,0.054733,1
0.003000,0.051611,1
0.003000,0.048139,1
0.003000,0.056444,1
0.003000,0.061940,1
0.003000,0.050201,1
0.003000,0.054383,1
0.003000,0.067607,1
0.003000,0.046306,1
0.003000,0.044842,1
0.003000,0.039446,1
0.003000,0.063520,1
0.003000,0.048843,1
0.003000,0.045119,1
0.150000,0.036299,1
0.150000,0.049255,1
0.003000,0.042222,1
0.003000,0.043503,1
0.003000,0.060638,1
0.003000,0.053360,1
0.150000,0.030518,1
0.003000,0.040523,1
0.003000,0.042596,1
0.019031,0.052075,0
0.150000,0.024792,1
0.003000,0.059539,1
0.003000,0.045481,1
0.003000,0.036860,1
0.023834,0.029957,0
0.043455,0.034070,0
0.003000,0.057311,1
0.003000,0.052152,1
0.003000,0.060767,1
0.003000,0.046837,1
0.150000,0.035842,1
0.003000,0.050662,1
0.031133,0.045948,0
0.059746,0.020185,0
0.003000,0.045089,1
0.003000,0.045190,1
0.150000,0.031298,1
0.022526,0.022806,0
0.150000,0.037723,1
0.150000,0.040890,1
0.019910,0.045469,0
0.106012,0.013899,0
0.150000,0.024769,1
0.150000,0.022980,1
0.010207,0.038871,0
0.090393,0.023282,0
0.150000,0.024668,1
0.006161,0.024392,0
0.030413,0.026945,0
0.018392,0.028741,0
0.033989,0.038641,0
0.003000,0.053290,1
0.003000,0.062181,1
0.150000,0.044439,1
0.150000,0.032089,1
0.003000,0.051088,1
0.005933,0.021491,0
0.032611,0.014753,0
0.003000,0.056798,1
0.003000,0.056444,1
0.150000,0.024948,1
0.027615,0.026535,0
0.003000,0.043622,1
0.150000,0.034047,1
0.137212,0.025743,0
0.027141,0.028588,0
0.150000,0.029804,1
0.150000,0.025369,1
0.046932,0.024616,0
0.034730,0.025091,0
0.003000,0.020575,1
0.003000,0.038647,1
0.084103,0.032980,0
0.036011,0.025308,0
0.150000,0.042215,1
0.150000,0.030682,1
0.003000,0.062973,1
0.150000,0.041491,1
0.150000,0.029935,1
0.150000,0.041583,1
0.003000,0.055467,1
0.150000,0.022910,1
0.150000,0.034374,1
0.031012,0.024245,0
0.150000,0.030710,1
0.084301,0.052947,0
0.003000,0.044501,1
0.003000,0.045567,1
0.003000,0.048925,1
0.012726,0.046889,0
0.127172,0.031246,0
0.042438,0.045274,0
0.031320,0.038050,0
0.144898,0.032048,0
0.035929,0.039064,0
0.032674,0.044304,0
0.150000,0.040198,1
0.033501,0.042839,0
0.045123,0.033627,0
0.030800,0.036857,0
0.032956,0.048199,0
0.029346,0.034770,0
0.142753,0.030035,0
0.033099,0.037646,0
0.034984,0.040179,0
0.059511,0.043420,0
0.077520,0.033063,0
0.035675,0.039659,0
0.029292,0.040976,0
0.114706,0.037431,0
0.035057,0.041353,0
0.048353,0.037245,0
0.098089,0.033982,0
0.036598,0.042930,0
0.062240,0.047765,0
0.105996,0.030825,0
0.041430,0.031809,0
0.035053,0.034862,0
0.112738,0.029655,0
0.030174,0.046254,0
0.028313,0.031338,0
0.132330,0.036760,0
0.035003,0.035253,0
0.055514,0.038253,0
0.039234,0.039749,0
0.108883,0.033034,0
0.057310,0.020544,0
0.038572,0.035018,0
0.139346,0.032443,0
0.032868,0.025634,0
0.027964,0.024827,0
0.150000,0.032539,1
0.023470,0.033313,0
0.033014,0.037685,0
0.088829,0.031997,0
0.034128,0.038850,0
0.101212,0.067862,0
0.073623,0.024655,0
0.150000,0.018016,1
0.050079,0.020562,0
0.049263,0.024793,0
0.150000,0.031050,1
0.015004,0.022155,0
0.025026,0.026492,0
0.150000,0.029328,1
0.023059,0.037279,0
0.025734,0.038577,0
0.150000,0.024020,1
0.147821,0.016439,0
0.063852,0.019801,0
0.150000,0.021244,1
0.035273,0.022098,0
0.066112,0.022540,0
0.016173,0.023571,0
0.105990,0.047394,0
0.079280,0.028436,0
0.150000,0.014060,1
0.150000,0.022437,1
0.123400,0.018967,0
0.150000,0.017200,1
0.103817,0.023360,0
0.054843,0.028399,0
0.061979,0.034132,0
0.150000,0.026564,1
0.003000,0.024989,1
0.150000,0.017643,1
0.150000,0.017902,1
0.150000,0.015213,1
0.150000,0.014281,1
0.150000,0.027061,1
0.003115,0.023720,1
0.150000,0.041084,1
0.150000,0.051706,1
0.150000,0.021728,1
0.150000,0.021339,1
0.150000,0.017100,1
0.150000,0.011622,1
0.150000,0.018147,1
0.150000,0.032111,1
0.150000,0.034517,1
0.090952,0.036874,0
0.150000,0.019713,1
0.150000,0.016360,1
0.150000,0.022757,1
0.150000,0.013733,1
0.150000,0.014179,1
0.150000,0.020259,1
0.150000,0.031343,1
0.115617,0.030120,0
0.100089,0.031975,0
0.076005,0.036256,0
0.085956,0.026223,0
0.104086,0.025418,0
0.150000,0.029761,1
0.150000,0.013204,1
0.150000,0.017254,1
0.150000,0.019313,1
0.003610,0.022495,0
0.007796,0.022521,0
0.005999,0.023187,0
0.134587,0.022928,0
0.053052,0.029911,0
0.150000,0.020984,1
0.150000,0.024319,1
0.003333,0.017199,0
0.003157,0.021366,1
0.150000,0.019567,1
0.150000,0.015303,1
0.109023,0.033402,0
0.150000,0.023916,1
0.005069,0.023391,0
0.150000,0.020852,1
0.041291,0.026132,0
0.150000,0.019456,1
0.074985,0.020410,0
0.138131,0.033644,0
0.150000,0.030064,1
0.003448,0.021098,0
0.003000,0.017059,1
0.150000,0.014467,1
0.150000,0.017487,1
0.150000,0.022469,1
0.150000,0.027097,1
0.003000,0.025558,1
0.150000,0.024204,1
0.150000,0.020811,1
0.004773,0.027301,0
0.090419,0.020105,0
0.007131,0.018208,0
0.047712,0.027301,0
0.073416,0.027749,0
0.150000,0.021259,1
0.003357,0.019843,0
0.150000,0.018848,1
0.003587,0.018002,0
0.150000,0.021164,1
0.150000,0.018195,1
0.003979,0.022233,0
0.150000,0.022897,1
0.150000,0.030278,1
0.003146,0.021844,1
0.009775,0.015343,0
0.003741,0.022821,0
0.150000,0.014964,1
0.012958,0.015186,0
0.003919,0.015818,0
